"ID","age","color","island","college","income","antennae","politics","anxiety","depression","sociable","control","memory","intelligence","time1","time2","time3","food1","sleep","food2","reasoning_trials"
1470,47,"Pink","3rd","A",102000,"Straight","Democrulite",50,102,97,39,92,96,5.16,4.14,3.47,7,6.1,10,6
1471,11,"Pink","1st","C",29000,"Straight","Republicant",51,115,80,55,102,120,8.41,7.57,7.17,10,7.1,11,1
1472,11,"Pink","1st","A",125000,"Straight","Republicant",48,97,104,72,92,104,5.31,4.87,5.16,10,6.3,11,3
1473,10,"Blue","2nd","B",51000,"Straight","Republicant",53,121,79,51,95,100,5.25,4.95,4.09,9,6.9,4,1
1474,34,"Pink","2nd","C",55000,"Straight","Democrulite",53,101,99,69,98,121,5.26,3.88,3.36,12,5.8,9,4
1475,51,"Pink","3rd","A",43000,"Straight","Independone",59,114,86,72,82,99,5.3,5.26,4.36,10,6.1,9,1
1476,56,"Blue","1st","C",65000,"Curly","Independone",45,96,103,86,87,120,4.5,3.76,4.44,12,7.1,9,12
1477,33,"Pink","2nd","B",156000,"Straight","Independone",55,97,101,60,105,108,9.16,7.85,8.65,9,8.4,7,2
1478,48,"Blue","2nd","B",23000,"Curly","Independone",44,96,107,65,93,103,6.68,7.14,6.17,8,6.2,9,9
1479,12,"Blue","2nd","A",86000,"Straight","Democrulite",50,111,94,60,102,106,7.43,7.46,7.32,7,4.2,7,4
1480,50,"Pink","1st","A",167000,"Straight","Democrulite",51,105,95,52,77,92,4.35,2.41,4.79,12,4.6,7,3
1481,28,"Pink","2nd","D",30000,"Straight","Democrulite",49,105,101,47,92,113,4.88,3.29,3.1,5,7.9,8,4
1482,11,"Blue","3rd","C",24000,"Straight","Independone",57,100,100,53,110,123,7.75,5.86,7.92,6,7.5,9,2
1483,64,"Blue","2nd","D",90000,"Straight","Independone",51,107,95,64,80,111,5.82,5.8,6.12,4,5.8,6,3
1484,29,"Pink","3rd","B",19000,"Straight","Democrulite",42,96,106,63,104,108,5.51,5.38,5.07,12,6.3,11,3
1485,23,"Blue","2nd","B",42000,"Straight","Democrulite",56,106,91,46,101,102,9.58,9.42,9.57,7,6.8,10,2
1486,27,"Blue","2nd","A",89000,"Curly","Republicant",65,111,82,62,110,110,4.6,4.64,4.49,8,6,8,4
1487,11,"Pink","1st","B",23000,"Straight","Republicant",44,112,101,50,100,102,4.78,4.5,3.27,9,6,8,1
1488,38,"Pink","1st","A",56000,"Straight","Republicant",50,102,99,52,82,94,7.09,5.44,7.22,12,6.6,10,6
1489,56,"Pink","1st","D",52000,"Straight","Republicant",42,106,95,60,83,111,5.38,4.56,4.47,9,5.3,10,3
1490,48,"Pink","3rd","A",104000,"Straight","Independone",61,106,97,76,79,98,5.11,5.6,4.48,11,6.4,11,1
1491,50,"Pink","3rd","B",62000,"Straight","Independone",46,97,103,60,104,107,4.72,3.23,4.24,8,7.3,5,2
1492,40,"Blue","3rd","D",19000,"Curly","Independone",55,104,97,54,85,111,5.3,4.79,4.41,9,4.7,8,16
1493,40,"Blue","2nd","D",38000,"Curly","Democrulite",48,107,98,71,107,126,5.13,3.53,4.69,8,7,8,3
1494,39,"Pink","3rd","C",46000,"Straight","Republicant",49,114,93,65,87,115,6.14,6.13,4.19,7,5.8,9,5
1495,60,"Blue","3rd","D",23000,"Curly","Independone",46,101,99,51,93,114,4.79,3.55,3.27,6,7.1,8,2
1496,15,"Pink","1st","D",27000,"Straight","Republicant",47,94,102,49,102,118,5.79,5.57,3.83,5,8.5,12,1
1497,33,"Pink","2nd","C",39000,"Straight","Democrulite",43,90,120,68,81,113,7.29,6.61,5.55,12,5.2,8,2
1498,60,"Pink","3rd","A",58000,"Straight","Independone",43,103,94,45,74,88,7.89,6.14,6.44,10,7.1,11,3
1499,66,"Blue","3rd","D",38000,"Straight","Democrulite",43,84,103,65,88,115,6.15,6.18,6.13,9,5.9,6,1
1500,57,"Pink","3rd","B",51000,"Straight","Republicant",57,111,97,69,83,99,5.12,5.24,4.21,10,5.7,8,1
1501,32,"Pink","1st","D",179000,"Straight","Republicant",48,73,141,62,108,125,3.75,3.52,2.39,7,4.9,12,1
1502,67,"Blue","1st","C",47000,"Straight","Republicant",50,115,85,57,78,108,9.4,9.44,9.79,10,5.2,5,2
1503,51,"Blue","1st","A",43000,"Straight","Republicant",47,100,100,66,103,108,5.55,4.8,4.05,3,4.8,8,1
1504,69,"Blue","2nd","C",57000,"Straight","Independone",45,98,101,65,94,118,8.59,7.94,8.52,8,5.4,12,1
1505,62,"Blue","3rd","B",18000,"Straight","Independone",46,93,106,75,86,102,4.28,3.93,3.99,10,6.6,8,5
1506,19,"Pink","2nd","B",30000,"Straight","Republicant",42,90,108,60,90,100,4.38,3.66,4.67,11,6.4,8,4
1507,43,"Blue","3rd","A",15000,"Straight","Republicant",48,105,95,61,92,101,6.31,5.25,6.64,10,7.8,6,1
1508,40,"Pink","1st","D",52000,"Straight","Independone",55,95,108,54,96,117,7.4,7.58,7.05,8,5.3,9,3
1509,44,"Blue","1st","A",66000,"Curly","Republicant",56,117,87,51,95,100,16.27,16.45,14.28,9,7,7,1
1510,13,"Pink","1st","B",194000,"Straight","Republicant",46,98,104,70,82,98,6.32,6.75,6.06,9,4.4,13,10
1511,24,"Pink","2nd","C",76000,"Straight","Democrulite",53,93,107,56,114,126,5.33,4.7,4.69,9,6.9,6,3
1512,66,"Pink","3rd","A",68000,"Straight","Independone",51,98,100,66,109,111,5.2,3.91,3.45,10,5.1,5,5
1513,55,"Blue","1st","A",46000,"Straight","Independone",56,118,92,54,83,95,6.47,4.97,6.43,10,4.5,8,8
1514,55,"Pink","1st","D",77000,"Straight","Republicant",55,108,83,54,81,109,5.34,5.56,5.11,5,5.8,6,1
1515,22,"Pink","1st","B",56000,"Straight","Independone",43,77,126,69,87,101,4.49,2.82,3.44,10,6.6,11,1
1516,36,"Pink","3rd","A",99000,"Straight","Independone",47,102,96,64,104,108,4.27,3.76,4.51,6,6.6,10,2
1517,21,"Pink","3rd","C",102000,"Straight","Democrulite",49,104,98,60,109,125,5.86,4.23,4.97,10,5,8,1
1518,61,"Pink","2nd","A",166000,"Straight","Republicant",49,92,111,50,72,88,7.17,6.57,6.89,9,4.3,6,1
1519,53,"Blue","1st","A",24000,"Straight","Democrulite",47,95,107,62,74,92,5.98,5.99,4.32,6,6.7,8,4
1520,26,"Blue","1st","C",40000,"Curly","Democrulite",49,98,103,62,103,122,5,4.12,4.8,5,6.7,6,1
1521,66,"Pink","1st","D",69000,"Straight","Democrulite",41,102,96,43,87,109,5.15,5.24,4.12,8,3.1,7,1
1522,64,"Pink","3rd","D",31000,"Straight","Independone",51,104,95,54,112,125,5.8,4.55,5.91,7,6.1,10,1
1523,43,"Pink","3rd","B",168000,"Straight","Republicant",55,96,103,46,91,97,4.74,4.7,3.16,10,6.4,6,4
1524,62,"Blue","3rd","D",34000,"Straight","Independone",50,103,98,58,81,110,8.25,6.35,7.5,6,5.6,3,6
1525,39,"Pink","1st","A",105000,"Straight","Democrulite",52,104,95,63,78,95,5.22,5.15,5.09,7,7.1,11,8
1526,47,"Pink","3rd","D",29000,"Straight","Democrulite",51,101,99,56,92,115,7.6,7.27,5.76,8,6.8,8,1
1527,70,"Pink","3rd","B",91000,"Curly","Independone",45,89,106,69,91,103,8.87,8.47,8.59,12,5.5,10,1
1528,16,"Pink","1st","B",36000,"Curly","Republicant",47,86,131,79,102,111,5.15,4.42,3.17,8,6.8,10,1
1529,15,"Pink","3rd","D",45000,"Straight","Democrulite",51,108,88,67,103,123,4.06,2.7,3.52,8,4.6,9,1
1530,62,"Pink","1st","D",23000,"Straight","Democrulite",50,93,111,52,97,117,4.24,3.99,2.55,11,5.9,7,2
1531,13,"Pink","2nd","B",93000,"Straight","Democrulite",47,101,98,58,91,100,4.53,2.97,3.45,7,5.4,10,4
1532,37,"Blue","3rd","A",128000,"Straight","Independone",52,110,99,66,90,102,6.86,5.83,5.77,7,7.2,12,1
1533,39,"Pink","3rd","D",46000,"Straight","Independone",44,97,101,71,98,122,5.83,4.86,5.5,8,6.4,9,1
1534,61,"Pink","2nd","A",50000,"Straight","Democrulite",53,120,75,58,85,97,5.65,3.83,4.74,13,5.4,9,2
1535,12,"Pink","1st","A",145000,"Straight","Republicant",50,99,101,61,79,95,6.26,5.82,5.35,9,6.3,9,1
1536,70,"Pink","3rd","A",88000,"Straight","Independone",49,110,86,66,82,98,6.14,4.91,5.96,10,5.2,11,1
1537,60,"Blue","1st","C",56000,"Curly","Republicant",35,83,108,41,93,112,6.21,4.43,5.94,8,5.9,7,3
1538,38,"Pink","2nd","C",559000,"Straight","Democrulite",38,90,115,60,113,127,6.72,7.02,5.62,9,5.6,12,5
1539,30,"Pink","2nd","B",134000,"Straight","Democrulite",59,123,66,65,92,102,6.04,6.07,5.17,9,5.4,8,1
1540,39,"Blue","1st","A",50000,"Straight","Democrulite",45,93,104,60,88,99,3.87,3.09,2.36,7,7,6,14
1541,64,"Blue","2nd","A",68000,"Curly","Democrulite",55,107,94,73,103,110,4.87,4.54,4.96,8,7.2,7,2
1542,18,"Blue","3rd","C",93000,"Straight","Democrulite",49,96,101,63,76,109,8.73,8.15,7.11,11,6,7,1
1543,18,"Blue","2nd","B",88000,"Curly","Democrulite",48,95,107,71,102,109,8,6.49,7.32,8,6.5,7,3
1544,58,"Blue","1st","A",120000,"Straight","Republicant",50,100,100,58,104,106,5.27,4.8,3.77,8,5.3,11,1
1545,58,"Pink","1st","B",103000,"Straight","Republicant",49,104,97,71,79,97,20.94,19.02,21.21,9,6,12,4
1546,50,"Pink","3rd","B",72000,"Straight","Independone",52,100,100,61,95,103,6.03,5.72,6.19,8,5.1,12,2
1547,65,"Pink","1st","C",127000,"Straight","Republicant",47,92,116,50,86,111,7.94,6.58,8.12,9,6.4,5,2
1548,40,"Pink","1st","B",39000,"Straight","Republicant",50,114,104,75,118,118,7.43,5.52,6.46,9,6.6,10,3
1549,19,"Pink","1st","B",77000,"Straight","Republicant",40,76,138,52,89,98,5.36,3.74,5.79,10,6,11,1
1550,21,"Pink","3rd","A",119000,"Straight","Republicant",47,81,130,60,88,99,7.03,6.8,5.75,9,4.4,5,1
1551,67,"Blue","1st","B",52000,"Curly","Republicant",47,96,101,58,101,105,7.4,5.57,5.59,7,5.9,3,2
1552,48,"Blue","3rd","A",43000,"Straight","Democrulite",52,98,103,53,120,113,5.81,4.29,5.16,7,5.3,8,4
1553,65,"Blue","2nd","B",168000,"Straight","Democrulite",42,72,129,66,94,104,8.06,6.22,8.01,9,7.2,3,6
1554,29,"Pink","2nd","B",83000,"Straight","Democrulite",37,86,105,65,86,99,5.58,5.28,4.34,11,6.6,13,3
1555,65,"Blue","2nd","B",38000,"Straight","Independone",54,102,98,62,80,96,9.32,8.57,7.42,7,5.8,12,11
1556,66,"Pink","1st","A",157000,"Straight","Republicant",51,102,98,62,64,88,6.03,5.96,4.85,8,6.1,9,4
1557,39,"Pink","3rd","A",68000,"Straight","Democrulite",49,92,109,73,89,103,6.15,5.16,5.07,7,6,9,5
1558,23,"Pink","2nd","D",86000,"Straight","Democrulite",56,123,68,64,104,123,5.96,5.16,4.26,7,6.5,8,1
1559,20,"Pink","1st","A",89000,"Straight","Democrulite",37,69,166,68,98,106,6.8,6.68,6.75,9,4.4,9,3
1560,46,"Pink","2nd","D",62000,"Straight","Democrulite",46,77,115,78,67,108,4.35,2.93,4.34,9,5.3,9,5
1561,48,"Pink","3rd","B",127000,"Straight","Independone",44,87,114,74,78,98,4.96,3.33,3.45,10,7.1,7,2
1562,14,"Pink","2nd","B",178000,"Straight","Democrulite",47,101,100,50,104,104,6.67,5.07,5.73,7,6.5,10,1
1563,12,"Blue","3rd","D",14000,"Curly","Independone",57,109,92,80,93,121,8.87,9.24,8.15,7,7.2,10,1
1564,15,"Pink","2nd","C",144000,"Straight","Independone",50,113,80,61,87,114,4.21,3.13,2.24,8,6.3,9,8
1565,43,"Pink","2nd","B",54000,"Straight","Democrulite",46,94,108,55,108,108,10.42,9.05,8.51,9,5.4,11,2
1566,29,"Pink","3rd","D",78000,"Straight","Independone",51,85,101,65,98,120,6.11,5.19,6.29,11,6.4,8,1
1567,46,"Pink","1st","D",81000,"Straight","Democrulite",45,106,88,67,85,114,5.61,3.83,4.28,11,5.6,6,2
1568,23,"Blue","3rd","C",145000,"Curly","Independone",50,110,90,65,104,123,7.18,7.38,6.48,8,6.4,9,3
1569,61,"Pink","2nd","D",59000,"Straight","Independone",56,117,87,67,102,123,6.89,5.59,7.2,8,7.5,14,2
1570,16,"Pink","1st","A",127000,"Straight","Democrulite",46,100,100,68,91,102,5.14,5.15,5.01,14,5.6,8,2
1571,13,"Blue","1st","D",32000,"Straight","Republicant",51,108,87,35,91,109,4.81,4.96,5.1,7,5.3,7,1
1572,52,"Pink","1st","D",64000,"Straight","Republicant",51,112,79,54,86,111,6.57,6.83,5.29,7,5.8,9,3
1573,24,"Pink","2nd","B",34000,"Curly","Independone",47,96,104,65,91,102,5.24,3.47,4.29,10,6.6,10,2
1574,32,"Pink","1st","A",93000,"Straight","Democrulite",44,80,118,63,101,106,5.79,4.03,4.51,11,6.1,10,2
1575,16,"Pink","1st","A",73000,"Straight","Republicant",48,96,103,54,99,103,6.41,5.36,6.78,8,5.6,10,4
1576,27,"Pink","3rd","A",79000,"Straight","Democrulite",50,108,98,44,101,102,8.43,7.38,7.42,9,5.9,12,3
1577,68,"Pink","3rd","B",60000,"Straight","Republicant",51,101,99,65,93,103,5.59,5.08,5.8,12,6.6,11,3
1578,58,"Pink","2nd","D",26000,"Straight","Democrulite",41,84,113,55,80,109,6.88,5.35,5.85,6,5.3,8,3
1579,52,"Blue","3rd","B",154000,"Straight","Independone",44,91,110,71,96,106,6.84,5.72,6.23,7,5,10,2
1580,64,"Pink","3rd","B",63000,"Straight","Republicant",46,89,104,66,91,102,6.21,6.43,6.08,9,5.6,11,2
1581,36,"Blue","3rd","A",15000,"Curly","Independone",55,109,104,58,95,102,6.09,4.18,4.11,9,5.6,9,1
1582,27,"Pink","1st","C",42000,"Straight","Independone",50,110,89,56,90,114,5.04,4.59,3.42,6,5.6,8,2
1583,21,"Blue","2nd","B",98000,"Curly","Democrulite",49,102,98,58,96,102,6.59,5.71,7.08,6,6.8,9,1
1584,58,"Blue","1st","B",122000,"Curly","Republicant",58,115,85,42,78,90,6.86,5.87,5.16,8,5.8,11,5
1585,20,"Pink","2nd","C",31000,"Straight","Democrulite",51,99,101,67,106,125,5.83,5.99,4.07,7,5.9,7,1
1586,31,"Pink","1st","C",95000,"Straight","Democrulite",48,101,100,68,114,129,6.28,4.29,4.61,7,6.3,9,3
1587,63,"Pink","1st","A",164000,"Straight","Republicant",51,103,98,82,84,102,5.99,5.5,5.38,11,5.6,6,1
1588,19,"Pink","2nd","C",23000,"Curly","Democrulite",45,99,100,56,109,123,7.65,6.77,5.9,7,5.5,6,2
1589,24,"Blue","1st","D",47000,"Straight","Democrulite",51,95,101,63,80,111,5.02,3.55,3.81,10,4.7,10,1
1590,66,"Blue","3rd","C",47000,"Curly","Independone",47,87,118,80,102,126,6.65,4.75,5.59,7,6.3,6,4
1591,58,"Pink","3rd","C",117000,"Straight","Independone",54,85,118,56,114,126,4.63,2.85,3.23,10,6.5,8,2
1592,56,"Pink","3rd","C",78000,"Straight","Independone",54,109,90,46,86,109,5.41,4.23,5.6,10,5,9,8
1593,58,"Pink","3rd","A",55000,"Curly","Democrulite",45,94,106,73,81,99,7.32,5.95,7.29,12,6.9,11,3
1594,23,"Pink","1st","B",28000,"Straight","Republicant",52,110,91,56,86,97,4.71,4.61,3.65,9,6.6,11,1
1595,60,"Blue","3rd","C",186000,"Curly","Independone",45,97,102,48,102,118,4.62,3.76,4.88,7,6.3,7,3
1596,11,"Pink","1st","B",28000,"Straight","Independone",46,102,95,57,102,105,6.34,5.62,6.44,12,6.1,12,1
1597,62,"Pink","1st","C",27000,"Straight","Republicant",54,104,99,66,78,111,5.01,5.45,4.08,11,6.9,8,4
1598,34,"Pink","1st","D",18000,"Straight","Republicant",44,83,110,53,112,124,6.28,6.24,4.72,9,6.1,9,1
1599,62,"Pink","1st","D",161000,"Straight","Independone",43,79,104,44,86,109,6.7,6.18,6.94,14,4.7,11,3
1600,29,"Blue","2nd","A",32000,"Curly","Democrulite",46,103,99,72,89,102,4.37,4.55,2.97,6,4.2,6,2
1601,15,"Pink","2nd","A",33000,"Curly","Democrulite",50,109,89,65,100,106,9.66,9.04,9.38,7,6.2,11,1
1602,25,"Pink","2nd","D",118000,"Straight","Republicant",47,95,108,51,102,119,6.49,6.29,5.74,8,5.7,10,5
1603,52,"Pink","3rd","C",39000,"Straight","Independone",50,102,99,44,104,118,5.18,3.68,4.1,7,4.9,8,1
1604,18,"Pink","1st","D",40000,"Straight","Democrulite",58,118,77,57,117,128,8.51,7.78,7.33,8,6.8,10,1
1605,39,"Pink","3rd","B",39000,"Straight","Independone",53,104,97,55,92,100,5.41,4.78,4.14,6,7.3,12,1
1606,56,"Pink","2nd","B",91000,"Straight","Democrulite",46,104,95,48,78,91,7.45,5.88,5.71,7,4.9,9,1
1607,46,"Blue","1st","D",9000,"Curly","Republicant",49,92,110,65,106,124,6.84,6.2,6.84,12,5.7,8,3
1608,42,"Pink","2nd","A",99000,"Straight","Republicant",48,110,92,56,105,106,6.79,6.85,5.54,7,7.1,11,2
1609,15,"Blue","2nd","C",40000,"Straight","Democrulite",51,100,100,51,81,108,4.2,2.64,2.36,7,4.5,7,2
1610,44,"Blue","2nd","B",38000,"Straight","Democrulite",49,85,107,55,113,110,7.02,6.18,6.96,10,5.4,12,5
1611,32,"Blue","1st","D",84000,"Curly","Republicant",42,95,106,62,104,123,5.78,4.94,4.7,6,7.8,8,2
1612,12,"Blue","2nd","D",48000,"Straight","Democrulite",49,96,104,67,79,111,8.67,7.11,8.11,3,5.7,7,3
1613,67,"Blue","1st","B",44000,"Curly","Independone",43,99,101,60,90,100,9.84,7.88,9.88,6,6.4,10,2
1614,62,"Pink","3rd","A",87000,"Straight","Independone",49,102,98,50,90,98,7.02,5.65,5.42,9,5.9,11,2
1615,49,"Pink","2nd","A",88000,"Straight","Democrulite",56,103,99,45,86,94,6.14,4.95,6.43,7,4.6,11,5
1616,29,"Pink","2nd","D",143000,"Curly","Democrulite",47,93,106,44,91,111,6.78,7.17,6.36,9,7.8,10,1
1617,37,"Pink","1st","B",82000,"Straight","Democrulite",47,85,112,58,76,92,9.35,8.74,9.37,10,7.7,9,4
1618,57,"Pink","3rd","B",18000,"Curly","Independone",53,105,94,72,87,102,4.26,3.5,3.42,11,5.4,10,6
1619,45,"Blue","3rd","D",94000,"Curly","Independone",46,96,106,47,114,124,4.62,3.55,4.63,9,6.9,8,3
1620,15,"Pink","1st","A",75000,"Straight","Democrulite",54,105,95,64,98,105,5.26,5.72,3.59,10,3.7,7,2
1621,55,"Pink","1st","B",63000,"Straight","Independone",53,101,99,61,82,96,2.92,1.31,1.78,9,5.6,10,2
1622,29,"Pink","3rd","D",85000,"Straight","Democrulite",50,110,90,59,67,103,5.13,3.93,4.52,10,6.8,13,1
1623,50,"Blue","1st","C",22000,"Straight","Democrulite",45,92,102,51,92,114,6.58,5.53,4.66,8,7.3,6,3
1624,44,"Pink","1st","B",33000,"Straight","Democrulite",55,104,98,58,97,103,6.01,4.73,4.4,7,6.3,6,5
1625,45,"Pink","2nd","B",48000,"Straight","Democrulite",50,95,107,68,97,106,6.36,5.13,6.11,7,6.8,10,1
1626,22,"Blue","2nd","C",38000,"Curly","Democrulite",52,95,104,36,92,110,8.62,7.99,7.35,10,6.5,11,5
1627,64,"Blue","3rd","A",128000,"Straight","Democrulite",50,103,94,66,73,93,7.2,6.25,5.32,5,4.8,7,9
1628,35,"Pink","1st","D",45000,"Straight","Republicant",47,102,98,52,109,123,9.85,10.21,9.86,8,6.8,8,2
1629,31,"Pink","2nd","D",87000,"Straight","Independone",57,103,96,59,113,126,4.78,4.95,2.9,10,5.4,12,3
1630,54,"Pink","3rd","A",20000,"Straight","Independone",45,100,100,66,93,103,5.73,4.34,5.94,9,5,8,3
1631,14,"Pink","1st","D",19000,"Straight","Independone",45,92,111,58,87,113,5.38,4.68,5.16,10,6.1,10,3
1632,18,"Blue","3rd","B",112000,"Curly","Independone",44,100,100,55,91,99,4.35,4.45,2.49,10,6,11,3
1633,27,"Pink","1st","B",38000,"Straight","Republicant",47,93,106,60,80,95,4.89,3.01,4.04,9,4.5,11,4
1634,49,"Blue","1st","D",85000,"Straight","Republicant",55,106,95,61,88,114,6.83,6.14,5.32,8,6,9,5
1635,33,"Blue","3rd","B",18000,"Curly","Democrulite",48,100,100,62,92,102,6,5.28,4.56,9,5.2,10,6
1636,35,"Pink","3rd","B",93000,"Straight","Republicant",55,100,100,71,83,99,7.3,7.62,5.84,11,5.6,4,1
1637,54,"Pink","3rd","D",34000,"Straight","Independone",53,112,86,58,87,113,6.1,6.21,5.56,4,6,9,3
1638,15,"Pink","3rd","B",160000,"Straight","Democrulite",58,100,100,59,89,99,4.6,3.41,2.87,13,6.4,8,7
1639,44,"Pink","2nd","A",47000,"Straight","Independone",52,94,107,44,99,100,7.48,6.82,7.38,10,6.4,10,4
1640,48,"Pink","3rd","A",26000,"Straight","Independone",43,85,111,75,92,105,5.98,4,5.28,7,6.8,8,1
1641,29,"Pink","3rd","B",137000,"Straight","Independone",46,96,104,49,83,94,6.4,6.13,6.05,10,6.2,10,1
1642,12,"Blue","2nd","D",77000,"Straight","Democrulite",47,100,100,56,100,119,3.57,2.53,2.49,8,6.2,11,1
1643,53,"Pink","1st","D",138000,"Straight","Republicant",51,117,89,77,96,122,4.7,3.05,4.86,9,5.5,9,2
1644,51,"Pink","3rd","D",45000,"Straight","Democrulite",49,108,97,64,84,113,7.57,8.07,7.25,10,4.2,11,6
1645,22,"Pink","1st","C",129000,"Straight","Republicant",49,107,92,61,108,124,6,4.14,5.5,12,6.3,12,1
1646,59,"Pink","3rd","C",39000,"Curly","Republicant",47,96,106,60,86,113,7.79,6.33,7.57,7,8.7,11,6
1647,67,"Pink","1st","A",85000,"Straight","Democrulite",46,81,116,52,73,90,9.49,9.99,8.4,9,4.8,11,1
1648,38,"Pink","2nd","C",46000,"Straight","Independone",46,98,102,57,103,121,9.06,8.06,9.13,9,5.8,9,1
1649,25,"Blue","3rd","A",77000,"Straight","Independone",41,93,105,63,102,107,6.12,6.56,6.22,9,6.2,7,9
1650,60,"Blue","3rd","D",42000,"Curly","Republicant",51,96,109,68,101,123,4.16,3.02,2.86,8,6.2,7,1
1651,30,"Pink","2nd","B",24000,"Straight","Democrulite",55,118,96,60,92,101,14.13,13.71,12.8,11,4.8,9,1
1652,38,"Pink","2nd","C",41000,"Straight","Democrulite",47,90,116,58,87,113,5.43,5.76,4.22,12,5.4,7,1
1653,34,"Blue","3rd","D",63000,"Straight","Independone",46,97,103,55,87,112,6.67,5.81,5.03,5,7.5,10,1
1654,25,"Blue","1st","C",31000,"Straight","Democrulite",48,100,100,46,83,108,4.19,4.15,2.58,10,6.7,5,3
1655,21,"Blue","1st","C",29000,"Straight","Democrulite",43,82,104,59,67,103,5.3,4.18,4.06,4,6,8,1
1656,56,"Pink","2nd","A",39000,"Straight","Democrulite",56,86,117,59,92,101,6.49,6.4,5.75,8,5.7,10,1
1657,67,"Pink","1st","A",26000,"Straight","Democrulite",53,103,98,65,93,103,7.28,7.27,5.4,8,6.7,9,1
1658,65,"Blue","1st","C",22000,"Straight","Republicant",62,111,81,60,91,115,12.1,11.57,10.6,9,5.4,8,2
1659,41,"Pink","3rd","C",22000,"Straight","Republicant",45,97,104,61,102,121,5.24,4.53,3.77,11,6.8,4,2
1660,31,"Blue","2nd","B",59000,"Straight","Independone",45,85,121,79,95,107,4.96,5.37,4.49,11,6.1,9,2
1661,48,"Blue","1st","D",51000,"Straight","Republicant",52,109,95,77,93,121,15.33,14.65,15.05,8,5.1,10,4
1662,66,"Pink","1st","A",31000,"Straight","Republicant",60,115,81,50,67,86,6.6,6.03,6.62,11,4.7,11,5
1663,26,"Blue","1st","D",70000,"Curly","Independone",43,88,108,48,106,120,6.7,4.99,5.97,12,5.3,7,2
1664,29,"Pink","3rd","C",37000,"Straight","Independone",55,102,99,60,96,118,9.37,7.74,8.51,8,8,10,1
1665,63,"Blue","3rd","B",48000,"Curly","Democrulite",45,86,108,56,91,100,7.28,6.04,5.34,11,6.9,6,2
1666,65,"Pink","1st","C",37000,"Straight","Republicant",47,85,106,58,104,121,7.81,5.99,6.22,10,6.2,8,1
1667,61,"Blue","1st","A",46000,"Curly","Independone",45,87,119,47,74,89,5.63,6.08,6.05,10,7.5,5,3
1668,55,"Pink","3rd","D",24000,"Straight","Democrulite",50,99,101,52,94,115,9.28,8.05,9.15,11,7,9,1
1669,41,"Blue","3rd","B",13000,"Straight","Independone",53,102,99,70,82,98,4.62,2.9,5.05,7,4.4,7,2
1670,34,"Pink","3rd","D",38000,"Straight","Independone",54,108,91,62,76,109,5.66,4.18,5.98,12,4.3,8,1
1671,28,"Pink","3rd","D",26000,"Straight","Republicant",48,98,102,55,87,112,4.27,2.44,4.42,12,4.7,12,16
1672,70,"Pink","3rd","B",36000,"Straight","Independone",47,99,101,46,73,88,10.34,8.53,10.3,9,5.1,13,2
1673,57,"Pink","2nd","A",32000,"Straight","Democrulite",53,107,86,54,92,100,8.86,9.22,8.96,7,6.1,13,2
1674,49,"Blue","1st","B",107000,"Curly","Republicant",48,97,102,63,83,97,6.73,6.78,4.91,8,5.9,5,2
1675,20,"Pink","1st","C",37000,"Straight","Republicant",53,106,96,58,74,107,6.09,5.19,5.62,9,5.4,10,12
1676,66,"Pink","2nd","A",119000,"Straight","Republicant",53,94,105,57,82,95,9.13,7.69,7.78,10,6.8,11,5
1677,27,"Pink","1st","C",123000,"Straight","Democrulite",60,113,95,41,98,114,4.62,2.71,4.56,10,6,9,2
1678,58,"Pink","2nd","D",87000,"Curly","Democrulite",50,96,104,69,78,111,12.54,11.38,12.9,11,7.9,6,2
1679,29,"Blue","3rd","D",57000,"Straight","Republicant",48,113,92,81,105,128,3.08,1.37,1.92,8,7.3,6,2
1680,66,"Pink","2nd","B",21000,"Straight","Independone",58,101,99,65,85,99,6.96,7.24,5.52,14,5.9,9,9
1681,50,"Pink","1st","D",28000,"Straight","Democrulite",46,106,91,63,91,116,5.09,5.23,3.78,9,6.2,9,1
1682,12,"Blue","3rd","A",104000,"Curly","Independone",43,96,105,56,88,98,4.91,3.47,4.58,8,5.5,8,1
1683,67,"Blue","3rd","A",15000,"Straight","Independone",46,82,121,57,68,88,7.12,5.31,6.07,9,6.7,10,7
1684,31,"Pink","2nd","D",26000,"Straight","Republicant",54,103,97,58,102,121,5.35,4.72,5.39,11,5.3,11,2
1685,51,"Blue","1st","C",50000,"Curly","Independone",52,111,92,67,86,115,10.68,11.16,9.37,8,6,9,4
1686,17,"Pink","1st","A",111000,"Straight","Republicant",44,86,98,64,104,108,3.94,2.59,2.21,8,5.3,10,3
1687,17,"Blue","2nd","B",38000,"Straight","Independone",52,95,105,46,102,102,4.01,4.16,4.16,11,5,8,1
1688,61,"Pink","1st","A",34000,"Curly","Republicant",51,98,99,52,79,92,5.9,6.38,4.28,8,6.1,9,4
1689,37,"Pink","1st","D",19000,"Straight","Republicant",57,105,98,40,90,110,5.59,4.89,4.42,4,7.1,10,4
1690,19,"Blue","3rd","A",56000,"Straight","Independone",52,100,100,56,109,108,10.67,8.78,9.11,8,4.7,10,3
1691,55,"Pink","3rd","B",38000,"Straight","Independone",43,84,113,66,97,105,4.99,4.55,4.94,12,5.4,8,1
1692,59,"Pink","3rd","B",43000,"Curly","Independone",57,96,102,58,91,100,8.61,8.85,6.95,11,5.4,7,4
